"id","name","dashboard_pick_up_order_action_status","shipment_search_status","shipment_action_status","shipment_add_status","shipment_info_status","bulk_update_status","drs_search_status","drs_action_status","drs_action_cod_status","drs_info_status","cod_search_cod_status","cod_action_cod_status","cod_update_cod_status","pick_up_search_status","pick_up_action_status","do_search_status","do_action_status","linehaul_search_status","linehaul_action_status","linehaul_info_status","created_at","updated_at"
"1","INCOMPLETE","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-10-17 09:20:32"
"2","PENDING ARRIVAL","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-10-17 09:21:04"
"3","ABNORMAL","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-10-17 09:19:30"
"4","DELIVERED","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"5","OUT FOR DELIVER","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"6","DELIVERED - PENDING FOR POD RETURN","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"7","ARRANGE FOR COLLECTION","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"8","ARRIVED HUB","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"9","AWAITING CUSTOM","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"10","AWAITING UPDATE FROM THIRD PARTY","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"11","CANCEL PICK UP","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"12","CLEARANCE IN PROGRESS","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"13","CUSTOM CLEARED","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"14","EXPORT EXKCH","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"15","EXPORT EXSBW","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"16","FAIL TO DELIVER","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"17","HELD IN DEPOT","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"18","IN WAREHOUSE","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"19","ITEM ACCEPTED BY COURIER","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"20","LOST","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"21","OFFLOAD","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"22","ON ROUTE","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","2023-08-09 17:55:02","2023-08-24 16:53:03"
"23","ONFORWARD VIA THIRD PARTY","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","2023-08-09 17:55:02","2023-08-24 16:52:58"
"24","PENDING - CONFIRMATION","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"25","PENDING - KUCHING HUB","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"26","PENDING - SIBU HUB","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"27","PENDING - OTHERS","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"28","PENDING - PAYMENT COLLECTION","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"29","PENDING - PICK UP","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"30","PROBLEM - NO ANSWER","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"31","PROBLEM - NOT AT HOME","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"32","PARTIALLY ARRIVE","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-11-13 11:22:34"
"33","PROBLEM - UNLOCATED","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"34","PROBLEM - VOICE MALL","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"35","REFUSE TO ACCEPT","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"36","REJECTED","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"37","RESCHEDULE","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"38","RETURN TO SHIPPER","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"39","SELF COLLECT AT KCH HUB","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"40","TRANSHIPMENT - IN TRANSIT","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"41","TRANSIT - OTHERS","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"42","COMPLETED","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","2023-08-09 17:55:02","2024-07-09 13:09:45"
"43","UNCOLLECTED","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-10-17 09:21:56"
"44","OTHER - COLLECTION VIA THIRD PARTY","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-08-09 17:55:02"
"45","CASH","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-10-17 09:19:41"
"46","CASH/TRANSFER","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-10-17 09:19:56"
"47","CHEQUE","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-10-17 09:20:05"
"48","TRANSFER - BANK","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-10-17 09:21:24"
"49","TRANSFER - SARAWAK PAY","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-10-17 09:21:43"
"50","COLLECTED","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","2023-08-09 17:55:02","2023-10-17 09:20:18"
"51","IN TRANSIT","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-08-24 16:51:41","2023-11-13 11:29:01"
